GLAZED,CHOCOLATE,STRAWBERRY,VANILLA,CHERRY,JELLY,CINAMON,BLUEBERRY,DANISHAPPLE,DANISHCHEESE,DANISHSTRAWBERRY,MUFINSBANANA,MUFINSCHEESE,MUFINSAPPLE,MUFINSSTRAWBERRY,COFEE,TEA,GREENTEA,CHAMOMILLETEA
1,1,0,1,1,0,0,1,1,1,1,0,0,1,0,0,1,0,0
0,0,1,1,1,0,0,1,1,0,0,1,0,1,1,1,0,1,1
1,1,0,1,0,0,1,1,1,0,1,1,1,1,0,1,0,1,0
1,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,1,0,1
1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,0,1,1
0,1,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1
1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0
1,0,0,1,0,0,1,0,1,1,0,1,1,0,1,1,0,1,0
1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1
0,0,0,0,0,1,1,0,0,1,0,1,1,0,1,1,0,1,0
1,1,1,0,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0
0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0
1,0,0,1,1,0,1,1,1,1,0,1,0,1,0,1,0,0,0
1,1,0,0,0,1,1,1,0,1,1,1,0,1,0,1,1,1,1
1,1,1,1,0,1,0,1,1,0,0,0,0,1,0,1,1,1,0
1,1,1,1,0,0,1,0,0,1,1,1,0,0,1,1,1,1,0
0,0,1,1,0,1,0,1,1,1,1,0,1,0,1,1,1,1,0
1,1,1,1,0,0,1,0,1,1,1,0,0,1,1,0,0,0,1
1,1,0,0,1,0,1,0,0,1,1,0,1,0,0,1,1,1,1
0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1
0,1,1,1,0,1,0,1,1,1,0,1,1,0,1,0,0,1,1
0,1,0,0,0,0,1,1,0,1,1,0,1,1,1,0,0,1,0
0,0,0,1,0,1,0,0,0,0,1,1,1,1,0,0,1,0,0
1,1,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0
1,0,0,1,1,0,0,0,0,1,0,1,0,0,1,1,1,0,0
0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,1,1
0,1,1,1,0,1,1,1,0,0,0,1,1,1,1,0,0,0,0
1,1,0,0,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0
0,1,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1
0,1,1,0,1,0,0,1,1,1,1,0,0,1,1,1,1,0,0
0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0
0,1,0,0,0,1,1,1,0,0,1,0,1,0,0,1,0,0,1
1,1,1,1,1,0,1,0,1,1,0,1,0,0,0,0,1,0,1
1,1,0,0,0,0,1,0,1,0,1,0,1,0,1,1,1,0,1
1,0,1,0,1,1,0,1,1,1,1,1,1,1,0,0,1,0,0
0,1,0,1,1,1,0,1,0,0,0,0,1,0,0,1,1,1,0
0,0,0,1,1,1,1,0,0,1,0,1,0,1,0,0,1,0,0
0,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1
1,1,1,1,0,0,0,0,1,0,1,1,1,1,1,0,1,0,0
1,0,0,1,0,1,1,0,1,1,0,1,0,1,0,0,0,1,0
0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,1,0,1,1
0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,1,0,0
0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0
1,0,0,1,1,0,0,0,1,1,1,0,1,1,0,1,1,0,1
0,1,0,1,0,1,1,1,0,1,0,1,1,1,0,0,0,1,0
0,1,0,0,1,1,1,0,0,1,1,1,1,0,1,0,0,0,0
1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,1,1,0
1,0,1,1,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0
1,1,0,1,0,1,1,1,0,1,0,1,1,0,0,0,0,1,0
0,1,0,1,0,1,0,1,1,1,0,1,1,0,0,1,1,0,0
1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,0,1,1,0
0,1,1,1,0,1,1,0,1,1,1,0,1,1,0,1,0,1,0
1,0,1,0,0,1,1,0,0,1,0,1,0,0,0,1,1,0,0
0,0,0,0,1,0,0,1,1,1,1,0,0,1,1,1,0,1,1
1,0,0,0,1,1,1,0,1,1,1,1,0,0,1,0,0,1,1
1,0,0,1,0,1,1,1,1,0,0,0,0,1,0,0,1,0,1
0,1,0,1,1,0,1,1,0,0,0,0,1,1,1,1,0,0,0
0,1,0,0,1,0,1,0,1,1,1,1,1,0,0,0,0,0,1
1,1,0,0,1,0,0,0,1,0,0,1,1,1,1,0,0,1,1
0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1
0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0
1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1
1,1,1,0,0,1,1,0,0,0,0,0,1,0,1,1,1,0,1
1,0,0,1,1,1,1,1,0,1,0,1,1,1,0,1,1,0,1
1,0,0,0,1,0,1,1,0,1,1,0,0,0,1,0,0,0,1
0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,1,1,0,1
1,0,0,0,1,0,0,1,1,0,1,1,1,0,0,1,1,1,1
0,1,0,1,0,1,1,0,1,0,1,0,0,0,0,0,1,0,1
0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0
1,0,0,1,1,0,1,0,0,1,1,0,0,1,1,0,0,0,1
0,1,1,1,1,1,0,0,0,1,0,1,0,0,1,1,0,0,1
1,0,1,0,1,0,1,1,1,1,0,1,0,0,0,1,0,1,1
0,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,1,1,1
1,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,1,1
1,0,1,0,0,0,0,1,0,0,1,0,0,1,1,1,0,1,1
1,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,0,1,1
0,1,0,0,1,0,0,0,1,1,0,1,1,0,0,0,1,0,0
1,1,0,0,0,0,1,1,0,0,1,1,1,0,1,0,1,1,0
1,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1
0,0,1,0,1,0,1,0,1,0,1,1,1,1,0,1,1,1,0
1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
0,0,1,1,1,1,1,0,0,1,1,0,0,0,1,0,0,0,1
0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,1,1,1,1
1,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0
1,0,1,1,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0
0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1
1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1
0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,0,1
1,0,0,0,1,1,1,1,0,1,1,0,0,1,1,0,0,1,1
0,1,0,1,0,0,1,1,0,1,1,1,1,0,0,0,1,1,0
0,0,0,0,0,1,1,0,1,1,0,1,0,0,1,1,1,1,1
1,0,0,1,0,1,0,0,1,1,0,1,0,1,1,1,0,1,1
0,0,1,1,1,1,0,0,0,1,0,1,0,0,1,0,0,1,0
1,1,1,0,1,0,1,0,0,1,1,1,0,1,1,1,0,0,0
1,0,1,0,1,1,1,1,0,0,0,1,0,1,1,0,1,0,1
1,1,0,1,0,0,0,1,1,1,1,1,0,1,0,1,1,1,1
0,1,1,0,0,1,1,1,0,0,0,1,0,0,1,0,1,1,1
0,1,1,1,1,0,0,1,1,1,0,1,0,0,0,0,1,0,0
1,1,0,0,0,1,0,0,1,0,0,0,0,1,1,1,0,1,1
1,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,1,0,1
1,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1,0,0,1
0,1,1,1,1,0,0,1,1,1,0,1,1,0,0,1,0,1,1
0,1,1,0,1,0,1,1,0,0,1,0,0,0,1,1,0,0,1
1,0,0,0,1,1,0,0,0,1,0,1,1,1,0,1,0,1,0
0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,1,0
0,1,1,1,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0
1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,0,0,1,1
1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1
1,1,1,0,1,0,0,0,1,1,1,1,1,1,1,0,1,1,0
1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,1,0,1,1,0,1,1,1,0,1,0,0,1,0,0,1,0,1
1,0,0,0,1,0,0,1,0,1,0,0,1,1,0,0,1,0,0
0,0,1,0,0,1,1,1,0,1,1,0,0,1,0,1,1,1,1
0,1,1,1,0,0,1,0,0,1,1,1,0,0,1,1,1,0,1
0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,1,1,0,1
1,1,1,0,0,1,0,1,1,0,0,0,1,1,0,0,0,1,0
0,1,0,0,0,0,0,1,1,1,0,1,0,1,0,1,1,1,0
0,1,1,0,1,0,0,1,0,0,1,0,1,1,1,1,1,0,0
1,0,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,1,0
1,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,1
0,0,0,1,1,1,0,0,1,1,1,1,1,0,1,1,0,1,1
1,0,0,1,1,0,0,0,1,0,1,1,1,0,0,0,1,0,1
1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,1,0,0
0,1,1,1,0,1,1,1,0,0,0,0,1,1,1,0,0,0,1
1,0,1,1,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0
0,1,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,1
1,1,0,1,0,1,0,1,1,0,1,1,1,0,0,0,1,1,1
1,1,1,0,1,1,1,1,0,0,0,1,0,1,1,0,0,1,0
1,0,0,0,0,1,1,1,1,0,0,0,1,1,1,1,1,1,1
1,0,0,1,0,0,0,1,0,1,0,1,0,0,1,1,0,1,0
1,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,0,1
0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,1,1,1,1
1,0,1,1,1,0,1,1,1,0,0,1,1,0,0,1,1,0,1
0,1,0,1,1,1,1,0,0,1,0,1,1,0,1,0,0,1,0
0,0,1,0,1,1,1,1,0,1,1,1,0,0,1,1,0,1,0
0,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,1,0,0
0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,1,1,1
1,0,1,1,1,0,1,1,1,0,1,0,1,1,0,1,0,1,0
0,1,1,1,0,1,0,0,1,0,0,0,1,1,1,1,1,0,0
0,0,0,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0
0,0,0,1,1,1,0,1,1,0,1,1,0,1,1,0,0,0,1
0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,1
1,0,0,0,1,0,0,0,1,1,1,1,0,1,1,1,1,0,1
0,0,0,1,0,1,1,0,1,1,0,1,0,1,0,0,1,1,1
1,1,0,0,1,1,0,1,1,0,0,0,0,1,0,1,1,1,1
1,1,0,0,0,1,0,1,1,0,0,1,1,0,1,1,1,0,0
1,1,1,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0
1,1,1,1,1,0,1,0,1,1,0,1,0,0,1,1,1,1,1
0,1,1,0,1,0,1,0,1,1,0,0,1,1,0,0,0,0,1
0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1,1,1,0
0,0,0,1,1,1,1,1,0,1,0,1,0,0,1,0,0,1,1
1,1,1,0,1,0,1,1,1,1,0,0,0,0,0,1,1,0,0
0,0,0,1,0,0,0,0,0,1,1,1,1,0,1,0,1,1,1
1,1,1,0,1,0,1,0,0,1,1,1,0,1,1,1,0,0,0
1,0,1,1,1,0,1,0,0,0,0,0,0,1,1,0,1,1,1
1,0,0,0,0,1,0,1,0,1,1,1,0,1,1,1,1,1,1
0,0,0,1,0,1,1,0,0,1,1,1,1,1,0,0,1,1,1
1,1,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0
0,1,0,0,1,0,1,1,1,1,0,1,1,0,0,1,0,0,0
0,1,0,0,1,1,1,1,1,0,0,0,1,0,1,1,1,0,1
0,1,0,0,0,0,1,1,0,1,1,1,1,1,0,1,1,1,0
0,0,1,0,1,0,1,0,0,1,1,1,0,0,0,1,1,0,1
0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,1,1,0
1,0,1,0,1,0,1,0,0,0,1,0,0,0,1,1,1,1,1
1,0,1,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0,1
1,1,1,0,1,1,1,1,1,0,1,0,1,1,0,1,1,1,0
1,1,1,0,0,0,1,1,1,0,1,1,1,0,0,1,1,1,1
1,0,0,0,1,1,0,0,0,0,1,1,0,0,1,1,0,1,1
1,1,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,0
1,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0
1,0,1,0,0,1,0,0,1,0,0,1,1,1,0,0,1,0,0
1,1,1,0,1,0,0,1,1,1,0,1,1,0,1,1,1,0,1
0,0,1,0,0,1,1,0,1,1,0,0,0,1,0,0,0,1,1
0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,1,0,0,1
1,1,0,1,1,1,0,1,1,0,0,1,0,0,0,1,1,0,1
1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0
0,0,1,0,1,1,1,0,0,1,1,0,0,1,0,1,1,1,0
1,0,0,1,0,1,1,1,1,0,0,1,1,0,1,0,0,0,0
0,1,0,0,1,0,1,0,1,1,0,1,0,0,1,1,1,1,1
1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0
1,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,1,0
0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0
0,0,1,1,0,1,1,1,0,1,1,1,0,0,1,0,1,0,0
0,0,0,0,1,1,1,1,0,1,0,1,0,1,0,0,1,1,0
0,1,0,0,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1
0,1,0,0,0,1,1,0,1,1,0,0,0,1,1,1,0,1,1
0,0,1,0,0,0,0,1,1,1,1,1,0,0,1,0,1,0,0
0,0,0,1,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1
0,1,1,0,1,0,1,1,1,1,0,1,0,1,1,0,0,1,1
0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,1,1,1,1
0,1,0,0,1,0,1,1,0,0,1,1,1,1,1,0,1,1,0
1,1,0,0,0,1,1,0,1,1,0,1,0,1,1,0,0,1,0
0,0,1,0,0,0,1,1,0,1,1,1,1,0,0,1,1,1,1
1,1,1,1,1,0,0,1,0,1,1,0,0,1,0,1,1,1,1
1,1,1,0,1,0,1,1,1,0,1,0,0,1,1,0,1,0,0
1,0,1,1,0,0,0,0,0,1,1,1,0,0,1,0,0,1,1
0,0,1,1,1,1,0,0,1,0,1,0,0,1,1,1,0,0,1
0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,1,0,1,1
1,0,1,0,1,1,1,1,0,0,0,0,1,0,1,0,1,1,1
0,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,0,0,1
1,0,1,1,0,1,0,0,1,0,1,1,0,0,0,0,1,1,1
0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1
1,0,1,1,0,1,1,0,1,0,0,1,1,1,0,0,0,0,0
0,1,0,1,0,1,1,1,0,0,0,0,1,1,1,1,0,1,0
0,1,1,1,1,1,1,0,1,0,1,0,1,0,0,1,1,1,1
1,0,0,0,1,0,1,0,1,0,0,1,0,1,1,0,0,1,0
0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,1,1,1
0,1,0,1,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0
1,0,1,0,0,1,0,1,1,1,1,0,0,0,0,0,1,1,0
1,0,1,0,0,0,1,1,0,1,0,0,1,1,0,1,1,0,0
0,0,1,1,0,1,1,0,0,0,0,0,1,1,1,1,0,1,1
0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0
0,1,1,0,1,1,1,0,1,1,1,1,1,1,0,0,0,1,1
1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,1
1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0
0,1,1,1,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0
1,0,0,1,0,0,1,1,1,1,1,1,0,1,0,0,0,1,1
0,0,0,1,1,1,1,0,0,1,1,0,0,1,0,1,0,1,1
0,1,0,0,1,0,0,1,1,1,1,0,0,0,1,0,0,1,0
0,1,0,0,0,1,0,1,1,1,0,1,0,1,1,1,0,0,0
1,0,0,1,1,1,0,1,0,1,1,0,0,1,0,1,1,0,0
0,0,1,0,0,1,1,1,0,1,0,0,1,1,1,0,0,0,1
0,1,0,0,0,1,1,0,1,1,1,1,1,1,1,0,1,0,1
0,0,0,0,1,1,1,1,0,1,0,1,0,0,0,1,0,1,0
0,1,1,0,0,1,0,1,0,1,1,1,1,1,0,1,0,0,1
0,0,1,0,0,1,1,1,0,1,1,0,0,0,1,1,0,0,1
0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,1,1
0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1
0,0,1,1,0,1,1,0,1,1,0,0,0,1,0,1,0,1,1
1,0,0,1,0,0,0,0,1,1,0,1,1,0,1,0,1,0,0
1,1,1,1,0,0,1,1,1,0,0,1,0,1,0,0,1,1,1
1,1,1,0,0,1,0,1,1,1,0,1,0,0,0,1,1,0,0
0,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1
1,1,1,0,1,0,1,0,0,1,1,1,1,1,0,1,0,0,0
1,1,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1
0,1,0,1,0,0,0,0,1,0,1,1,1,1,0,1,1,1,0
1,0,1,0,0,1,1,1,0,1,1,1,1,0,0,1,0,1,1
0,1,1,0,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1
0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,1,1,0,0
0,1,1,0,0,1,0,1,0,0,1,0,1,1,0,0,1,1,0
0,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,1
0,1,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,1,1
0,1,1,0,1,0,1,0,0,0,0,1,1,0,0,1,1,1,0
1,0,1,1,0,1,1,1,1,1,0,0,1,0,0,0,0,0,1
0,1,0,0,0,1,0,0,1,1,0,1,1,1,0,0,1,1,1
0,0,1,0,1,0,1,1,1,1,1,0,1,0,0,0,0,1,0
0,1,1,0,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0
1,1,0,1,1,0,1,0,1,1,0,0,0,0,0,1,0,1,0
1,0,0,0,0,1,0,1,0,1,1,1,0,1,0,1,1,1,0
0,1,0,0,1,0,0,1,1,1,0,1,1,0,0,0,0,0,1
0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0
0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,1
0,0,1,1,1,1,1,1,1,0,1,1,0,0,1,0,1,0,0
1,1,0,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0
1,0,0,1,0,0,1,0,1,1,0,1,0,1,1,1,1,0,0
1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0
0,1,1,1,0,0,1,0,0,1,0,1,1,0,0,0,1,1,0
1,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0
1,1,1,1,0,0,0,0,0,1,0,1,0,0,1,0,1,1,1
1,0,0,1,0,1,0,1,1,0,0,1,0,0,1,0,0,1,1
0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0
1,1,1,0,0,1,1,0,0,1,0,0,1,1,0,1,0,0,1
1,0,1,1,1,0,0,1,0,1,1,1,1,1,0,1,1,0,0
1,1,0,1,1,0,0,1,1,0,0,1,1,1,0,0,1,0,0
0,0,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1
1,0,1,1,1,1,0,0,1,0,1,1,0,1,0,1,1,0,0
0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1
0,0,0,0,1,1,0,1,0,0,0,1,1,1,0,0,1,0,1
0,1,0,0,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0
1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,1,1,0
0,1,1,0,0,1,1,1,1,1,0,1,1,0,0,0,1,0,1
1,1,0,0,0,1,0,0,0,1,1,0,0,1,1,1,0,0,0
1,0,0,1,1,1,0,0,1,0,0,0,1,0,1,0,0,1,1
1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1
0,1,0,0,1,1,0,0,0,1,1,1,0,0,1,0,1,0,1
